,url
230,https://www.coursera.org/specializations/introduction-to-public-relations-and-the-media
231,https://www.coursera.org/specializations/introduction-scripting-in-python
232,https://www.coursera.org/specializations/c-programming
233,https://www.coursera.org/specializations/investment-management
234,https://www.coursera.org/specializations/investment-management-python-machine-learning
235,https://www.coursera.org/specializations/investment-portolio-management
236,https://www.coursera.org/specializations/java-fullstack
237,https://www.coursera.org/specializations/java-programming
238,https://www.coursera.org/specializations/javascript-beginner
239,https://www.coursera.org/specializations/key-technologies-for-business
240,https://www.coursera.org/specializations/leading-teams
241,https://www.coursera.org/specializations/leading-modern-day-business
242,https://www.coursera.org/specializations/hr-management-leadership
243,https://www.coursera.org/specializations/speaklistenenglish
244,https://www.coursera.org/specializations/advanced-grammar-punctuation
245,https://www.coursera.org/specializations/learn-english-beginning-grammar
246,https://www.coursera.org/specializations/intermediate-grammar
247,https://www.coursera.org/specializations/learn-sql-basics-data-science
248,https://www.coursera.org/specializations/linux-for-lfca-certification
249,https://www.coursera.org/specializations/leverage-data-science-agile-supply-chain
250,https://www.coursera.org/specializations/linux-private-cloud-administration-power-systems
251,https://www.coursera.org/specializations/matlab-programming-engineers-scientists
252,https://www.coursera.org/specializations/mlops-machine-learning-duke
253,https://www.coursera.org/specializations/machine-learning
254,https://www.coursera.org/specializations/machine-learning-introduction
255,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops
256,https://www.coursera.org/specializations/machine-learning-reinforcement-finance
257,https://www.coursera.org/specializations/machine-learning-trading
258,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp
259,https://www.coursera.org/specializations/managementconsulting
260,https://www.coursera.org/specializations/managerial-economics-business-analysis
261,https://www.coursera.org/specializations/managing-cybersecurity
262,https://www.coursera.org/specializations/market-research
263,https://www.coursera.org/specializations/marketing-mix
264,https://www.coursera.org/specializations/marketing-strategy
265,https://www.coursera.org/specializations/marketing-with-tiktok
266,https://www.coursera.org/specializations/mathematics-engineers
267,https://www.coursera.org/specializations/mathematics-machine-learning
268,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
269,https://www.coursera.org/specializations/medical-billing-coding-fundamentals
270,https://www.coursera.org/specializations/medicalterminology
271,https://www.coursera.org/specializations/memoir-personal-essay
272,https://www.coursera.org/specializations/mergersandacquisitions
273,https://www.coursera.org/specializations/meta-react-native
274,https://www.coursera.org/specializations/social-science
275,https://www.coursera.org/specializations/microsoft-365-fundamentals
276,https://www.coursera.org/specializations/microsoft-azure-ai-900-ai-fundamentals
277,https://www.coursera.org/specializations/microsoft-azure-dp-900-data-fundamentals
278,https://www.coursera.org/specializations/microsoft-azure-fundamentals-az-900
279,https://www.coursera.org/specializations/skillup-edtech-modern-project-management
280,https://www.coursera.org/specializations/modernrobotics
281,https://www.coursera.org/specializations/modern-contemporary-art-design
282,https://www.coursera.org/specializations/music-business
283,https://www.coursera.org/specializations/music-education
284,https://www.coursera.org/specializations/music-production
285,https://www.coursera.org/specializations/natural-language-processing
286,https://www.coursera.org/specializations/negotiation-mediation-conflict-resolution
287,https://www.coursera.org/specializations/networkautomation
288,https://www.coursera.org/specializations/networking-google-cloud-platform
289,https://www.coursera.org/specializations/computational-neuroscience
290,https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations
291,https://www.coursera.org/specializations/java-object-oriented
292,https://www.coursera.org/specializations/object-oriented-programming
293,https://www.coursera.org/specializations/wharton-retail-strategy
294,https://www.coursera.org/specializations/optical-engineering
295,https://www.coursera.org/specializations/oracle-sql-databases
296,https://www.coursera.org/specializations/organizational-change-and-culture-for-adopting-google-cloud
297,https://www.coursera.org/specializations/organizational-leadership
298,https://www.coursera.org/specializations/organizational-leadership-in-diversity-equity-and-inclusion
299,https://www.coursera.org/specializations/palliative-care-always
300,https://www.coursera.org/specializations/patient-safety
301,https://www.coursera.org/specializations/people-and-soft-skills-for-professional-success
302,https://www.coursera.org/specializations/pharmacy-technician-fundamentals
303,https://www.coursera.org/specializations/photography-basics
304,https://www.coursera.org/specializations/plant-bioinformatic-methods
305,https://www.coursera.org/specializations/postgresql-for-everybody
306,https://www.coursera.org/specializations/power-electronics
307,https://www.coursera.org/specializations/practical-data-science
308,https://www.coursera.org/specializations/practical-data-science-matlab
309,https://www.coursera.org/specializations/financial-instruments-trading-investing
310,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy
311,https://www.coursera.org/specializations/probabilistic-graphical-models
312,https://www.coursera.org/specializations/product-ideation-design-and-management
313,https://www.coursera.org/specializations/professional-skills-for-the-workplace
314,https://www.coursera.org/specializations/hands-on-cpp
315,https://www.coursera.org/specializations/google-golang
316,https://www.coursera.org/specializations/meem-project-management
317,https://www.coursera.org/specializations/project-management-success
318,https://www.coursera.org/specializations/project-management
319,https://www.coursera.org/specializations/psychological-research
320,https://www.coursera.org/specializations/python-3-programming
321,https://www.coursera.org/specializations/pythonforcybersecurity
322,https://www.coursera.org/specializations/python
323,https://www.coursera.org/specializations/python-bash-sql-data-engineering-duke
324,https://www.coursera.org/specializations/qualitative-research-design-and-methods-for-public-health
325,https://www.coursera.org/specializations/real-world-product-management
326,https://www.coursera.org/specializations/regulatory-compliance
327,https://www.coursera.org/specializations/reinforcement-learning
328,https://www.coursera.org/specializations/renewable-energy
329,https://www.coursera.org/specializations/risk-management
330,https://www.coursera.org/specializations/roboticprocessautomation
331,https://www.coursera.org/specializations/robotics
332,https://www.coursera.org/specializations/sales-operations
333,https://www.coursera.org/specializations/sales-training-high-performing-teams
334,https://www.coursera.org/specializations/school-health-for-children-and-adolescents
335,https://www.coursera.org/specializations/skillup-edtech-scrummaster
336,https://www.coursera.org/specializations/learnquest-certified-scrum-master
337,https://www.coursera.org/specializations/seo
338,https://www.coursera.org/specializations/security-analyst-fundamentals
339,https://www.coursera.org/specializations/security-google-cloud-platform
340,https://www.coursera.org/specializations/self-driving-cars
341,https://www.coursera.org/specializations/six-sigma-black-belt
342,https://www.coursera.org/specializations/six-sigma-green-belt
343,https://www.coursera.org/specializations/six-sigma-fundamentals
344,https://www.coursera.org/specializations/social-media-marketing
345,https://www.coursera.org/specializations/social-media-marketing-practice
346,https://www.coursera.org/specializations/software-architecture-big-data
347,https://www.coursera.org/specializations/software-design-architecture
348,https://www.coursera.org/specializations/software-development-lifecycle
349,https://www.coursera.org/specializations/product-management
350,https://www.coursera.org/specializations/software-testing-automation
351,https://www.coursera.org/specializations/songwriting
352,https://www.coursera.org/specializations/sports-analytics
353,https://www.coursera.org/specializations/spring-framework
354,https://www.coursera.org/specializations/statistical-analysis-r-public-health
355,https://www.coursera.org/specializations/statistics-with-python
356,https://www.coursera.org/specializations/strategic-leadership
357,https://www.coursera.org/specializations/strategic-leadership-impact-change-decision-making
358,https://www.coursera.org/specializations/strategic-management
359,https://www.coursera.org/specializations/sales-management-bridging-gap-strategy-sales
360,https://www.coursera.org/specializations/supply-chain-analytics
361,https://www.coursera.org/specializations/supply-chain-management
362,https://www.coursera.org/specializations/data-collection
363,https://www.coursera.org/specializations/systems-biology
364,https://www.coursera.org/specializations/tesol
365,https://www.coursera.org/specializations/tesol-certificate-2
366,https://www.coursera.org/specializations/toefl-preparation
367,https://www.coursera.org/specializations/tensorflow-advanced-techniques
368,https://www.coursera.org/specializations/tensorflow-data-and-deployment
369,https://www.coursera.org/specializations/the-art-of-visual-storytelling
370,https://www.coursera.org/specializations/healthcare-administration-management
371,https://www.coursera.org/specializations/business-music-production
372,https://www.coursera.org/specializations/diy-musician
373,https://www.coursera.org/specializations/personal-finance-fundamentals
374,https://www.coursera.org/specializations/materiality-esg-factors
375,https://www.coursera.org/specializations/american-english-pronunciation
376,https://www.coursera.org/specializations/singer-songwriter
